employee-id,month-year,overtime-type,hours,amount,location,job-family,overtime-category
3713,January 2014,Special Holiday Premium,8.0,154.64,Factory A,"Supply Chain, Logistics and Procurement",Premium Pay
3525,January 2014,Night Premium,2.0,10.64,Factory A,Manufacturing,Night Differential
8634,January 2014,OT Special Holiday,8.0,699.76,Factory A,Manufacturing,OT
9839,January 2014,Rest Day Premium Pay,16.0,335.52,Factory A,Manufacturing,Premium Pay
5305,January 2014,Special Holiday Premium,8.0,178.08,Factory A,Engineering and Technical Support,Premium Pay
3174,January 2014,OT Rest day,4.0,759.84,Factory A,Manufacturing,OT
2352,January 2014,Night Premium,19.0,117.23,Factory A,Manufacturing,Night Differential
627,January 2014,Special Holiday Premium,8.0,248.88,Factory A,Manufacturing,Premium Pay
4458,January 2014,Legal Holiday Premium Pay,2.0,154.74,Factory A,Engineering and Technical Support,Premium Pay
7245,January 2014,Night Premium,22.0,139.7,Factory A,Manufacturing,Night Differential
1148,January 2014,Night Premium,28.0,428.4,Factory A,"Supply Chain, Logistics and Procurement",Night Differential
4953,January 2014,Rest Day Premium Pay,18.0,387.9,Factory A,"Supply Chain, Logistics and Procurement",Premium Pay
573,January 2014,Night Premium,16.0,244.8,Factory A,Manufacturing,Night Differential
7517,January 2014,OT Regular,8.0,1198.72,Factory A,Engineering and Technical Support,OT
4558,January 2014,Rest Day Pay,8.0,479.2,Factory A,Manufacturing,Premium Pay
5542,January 2014,OT Regular,9.0,822.24,Factory A,Engineering and Technical Support,OT
247,January 2014,Rest Day Premium Pay,16.0,260.96,Factory A,Manufacturing,Premium Pay
3174,January 2014,OT Special Holiday,4.0,759.84,Factory A,Manufacturing,OT
1191,January 2014,OT Regular,8.0,556.24,Factory A,Manufacturing,OT
5405,January 2014,OT Regular,8.0,981.84,Factory A,Manufacturing,OT
4711,January 2014,OT Regular,37.0,4876.23,Factory A,Research and Development,OT
2463,January 2014,Rest Day Premium Pay,10.0,215.5,Factory A,Manufacturing,Premium Pay
6977,January 2014,OT Regular,40.0,5861.2,Factory A,Manufacturing,OT
6900,January 2014,Rest Day Pay,16.0,1118.4,Factory A,Engineering and Technical Support,Premium Pay
5390,January 2014,Special Holiday Premium,8.0,181.04,Factory A,"Supply Chain, Logistics and Procurement",Premium Pay
7827,January 2014,OT Special Holiday,3.0,836.25,Factory A,Manufacturing,OT
9689,January 2014,OT Regular,28.0,3700.2,Factory A,Manufacturing,OT
449,January 2014,Night Premium,44.0,429.88,Factory A,Manufacturing,Night Differential
2550,January 2014,Night Premium,30.0,448.5,Factory A,Engineering and Technical Support,Night Differential
8666,January 2014,Rest Day Pay,16.0,1149.12,Factory A,"Supply Chain, Logistics and Procurement",Premium Pay
7838,January 2014,Rest Day Pay,16.0,1074.08,Factory A,Manufacturing,Premium Pay
6816,January 2014,Rest Day Premium Pay,8.0,285.28,Factory A,Manufacturing,Premium Pay
428,January 2014,Special Holiday Premium,8.0,195.44,Factory A,Engineering and Technical Support,Premium Pay
2253,January 2014,Legal Holiday Pay,8.0,788.16,Factory A,Engineering and Technical Support,Premium Pay
1856,January 2014,Rest Day Premium Pay,8.0,172.4,Factory A,Manufacturing,Premium Pay
